TypeEtab,Genre,Niveau,RetardSco,Provenance,Handicap,SocialAid,CD_MIL,Moy,Result
Public,Female,Primary,2 years,Urban,Yes,Yes,8270,14.8,Pass
Public,Male,Secondary,1 year,Rural,Yes,No,1860,17.9,Pass
Private,Female,Secondary,1 year,Suburban,No,Yes,6390,18.8,Pass
Public,Male,Tertiary,1 year,Suburban,No,Yes,6191,19.6,Fail
Public,Male,Tertiary,None,Suburban,Yes,No,6734,17.9,Fail
Public,Female,Tertiary,None,Rural,No,No,7265,16.2,Fail
Private,Male,Primary,2 years,Suburban,No,Yes,1466,15.0,Fail
Public,Female,Tertiary,1 year,Suburban,No,No,5426,18.7,Pass
Private,Male,Tertiary,None,Rural,Yes,No,6578,17.4,Fail
Public,Female,Tertiary,None,Suburban,Yes,Yes,9322,11.6,Pass
Private,Male,Tertiary,2 years,Rural,Yes,Yes,2685,16.8,Fail
Public,Female,Secondary,1 year,Urban,No,Yes,1769,14.3,Fail
Public,Female,Primary,None,Urban,Yes,Yes,7949,16.0,Fail
Public,Female,Secondary,None,Rural,No,Yes,3433,19.0,Fail
Private,Female,Secondary,None,Rural,No,No,6311,16.5,Fail
Public,Male,Primary,None,Rural,No,Yes,6051,19.4,Fail
Public,Female,Secondary,1 year,Suburban,No,No,7420,18.7,Fail
Private,Male,Tertiary,2 years,Suburban,No,No,2184,11.3,Pass
Private,Male,Primary,1 year,Rural,Yes,No,5555,10.1,Fail
Private,Female,Secondary,2 years,Rural,Yes,Yes,4385,13.8,Fail
Private,Female,Secondary,None,Suburban,Yes,No,7396,18.7,Fail
Public,Male,Tertiary,1 year,Suburban,No,Yes,9666,12.3,Fail
Public,Male,Secondary,2 years,Rural,Yes,Yes,3558,16.9,Fail
Private,Male,Secondary,2 years,Suburban,Yes,Yes,8849,14.8,Pass
Public,Female,Secondary,None,Suburban,No,No,3047,17.5,Fail
Private,Female,Primary,2 years,Urban,Yes,No,3747,11.6,Pass
Public,Male,Primary,2 years,Rural,No,No,1189,12.4,Pass
Private,Male,Secondary,2 years,Rural,No,Yes,3734,12.4,Pass
Public,Male,Secondary,None,Suburban,No,No,4005,15.5,Pass
Private,Female,Tertiary,1 year,Urban,No,No,5658,12.9,Fail
Private,Male,Primary,None,Rural,Yes,Yes,2899,18.1,Fail
Public,Male,Primary,2 years,Rural,Yes,Yes,8734,13.5,Fail
Public,Male,Primary,2 years,Suburban,No,Yes,2267,16.6,Pass
Public,Male,Secondary,1 year,Rural,Yes,No,2528,19.5,Fail
Private,Female,Tertiary,2 years,Suburban,Yes,Yes,4556,16.1,Fail
Public,Male,Tertiary,1 year,Urban,No,No,4890,12.4,Fail
Private,Female,Secondary,2 years,Urban,No,Yes,9838,18.3,Fail
Public,Female,Secondary,2 years,Rural,No,No,6393,10.1,Fail
Public,Male,Tertiary,None,Suburban,Yes,No,9792,12.6,Pass
Private,Female,Tertiary,None,Urban,Yes,No,9433,13.9,Pass
Private,Male,Primary,1 year,Rural,No,No,8513,12.0,Pass
Public,Male,Secondary,None,Rural,No,Yes,3612,16.0,Fail
Private,Male,Primary,1 year,Rural,No,No,8041,15.6,Fail
Private,Male,Tertiary,None,Suburban,Yes,No,7235,14.1,Pass
Public,Male,Primary,1 year,Suburban,No,Yes,6486,12.9,Fail
Private,Female,Tertiary,2 years,Urban,Yes,Yes,8099,14.3,Fail
Public,Female,Tertiary,1 year,Suburban,No,Yes,1775,12.9,Fail
Public,Male,Primary,None,Suburban,Yes,No,9226,12.2,Fail
Private,Female,Secondary,1 year,Rural,Yes,No,4152,13.5,Fail
Public,Male,Primary,None,Rural,No,Yes,2585,16.0,Pass
Private,Female,Primary,2 years,Urban,Yes,Yes,4943,16.5,Pass
Public,Female,Secondary,None,Rural,Yes,Yes,8555,13.0,Fail
Private,Male,Secondary,2 years,Rural,Yes,No,4073,19.5,Fail
Private,Female,Primary,2 years,Rural,No,No,2021,12.6,Fail
Private,Female,Tertiary,None,Suburban,Yes,Yes,4843,17.1,Pass
Private,Female,Primary,2 years,Rural,Yes,No,8989,10.8,Pass
Private,Male,Tertiary,None,Urban,Yes,No,7873,16.6,Pass
Public,Female,Secondary,1 year,Urban,No,Yes,6675,14.6,Pass
Public,Female,Secondary,2 years,Rural,No,No,1161,15.7,Fail
Private,Female,Tertiary,1 year,Rural,No,No,5297,11.8,Pass
Public,Female,Primary,1 year,Urban,Yes,Yes,1995,14.3,Pass
Private,Female,Secondary,None,Suburban,No,Yes,8629,17.7,Fail
Private,Female,Tertiary,None,Rural,No,Yes,2016,17.7,Pass
Public,Female,Tertiary,2 years,Urban,No,Yes,8869,12.4,Fail
Public,Female,Primary,None,Suburban,No,Yes,7439,13.5,Pass
